tract_split,Year,City,LACity,Community_Name,SPA,sd,cd,ca_ssd,us_cd,ca_sad,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totSafeParkSingAdult,totSafeParkFamHH,totSafeParkFamMem,totCars,totVans,totCampers,totTents,totEncamp,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totESPeople,totTHPeople,totSHPeople,totSheltPeople
104124_xw4,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104124_xw5,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,30,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104201,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104203,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw1,2024,,2,Unincorporated - Kagel/Lopez Canyons,2,5,0,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104204_xyw3,2024,Los Angeles city,1,Los Angeles city,2,5,7,20,29,43,4,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104310,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,8,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104321,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104322,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104401,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,10,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104403_q1,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,10,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104403_q2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104404,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104500,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,1,0,5,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,24
104610,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104620,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104701,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104703_r1,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,14,1,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104703_r2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,30,43,4,0,0,0,0,0,21,2,64,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104704,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104821,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104822,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104823,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104824,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,2,8,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106010,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,3,0,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,35
106020,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106111,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106112,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,6,0,0,0,0,0,0,1,9,4,9,76,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,81
106113,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106114,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,0,0,3,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16
106403,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106405,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106406,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106407,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28
106408,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106510_x1,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,5,0,0,0,0,0,8,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106510_x2,2024,Los Angeles city,1,Los Angeles city,2,3,12,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106520,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106603,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106604,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,9,3,5,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,92
106641,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106642,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,1,0,0,0,0,0,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106643,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106645,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106646,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106648,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106649,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107010,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107020,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,5,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108101,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108102,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108103,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108104,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108202_q1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108202_q2,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108203,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108204,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109100,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15
109200,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109300,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109400,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109500,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109601_x1,2024,Los Angeles city,1,Los Angeles city,2,3,6,20,29,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109601_x2,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109603,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109604,2024,Los Angeles city,1,Los Angeles city,2,3,7,20,29,43,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109700_r1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109700_r2,2024,Los Angeles city,1,Los Angeles city,2,3,12,20,27,40,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109800_r1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109800_r2,2024,Los Angeles city,1,Los Angeles city,2,3,12,20,32,40,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111100,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111201,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111202,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,1,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111204,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111205_q1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111205_q2,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111206_q1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111206_q2,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111206_q3,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111302,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111303_r1,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111303_r2,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111304,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111401,2024,Los Angeles city,1,Los Angeles city,2,3,12,27,32,40,0,0,0,0,0,0,2,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
